participations,driverref,points,dob,did_not_start,last_win,podiums,last_race,permanent_number,championships,country_flag,surname,country_code,code,top_ten,fullname,did_not_finish,first_win,fastestlaps,races_finished,fullname_flag,first_race,poles,subchampionships,year,wins,forename,finished_in_points,country
3,lennep,1.0,1942-03-16,0,,0,1975-08-03,,0,🇳🇱,van Lennep,nl,,2,Gijs van Lennep,0,,0,3,Gijs van Lennep 🇳🇱,1975-06-22,0,0,1975,0,Gijs,1,Netherlands
3,ertl,0.0,1948-08-31,0,,0,1975-09-07,,0,🇦🇹,Ertl,at,,2,Harald Ertl,1,,0,2,Harald Ertl 🇦🇹,1975-08-03,0,0,1975,0,Harald,0,Austria
3,henton,0.0,1946-09-19,0,,0,1975-10-05,,0,🇬🇧,Henton,gb,,0,Brian Henton,2,,0,1,Brian Henton 🇬🇧,1975-07-19,0,0,1975,0,Brian,0,UK
3,ian_scheckter,0.0,1947-08-22,0,,0,1975-06-22,,0,🇿🇦,Scheckter,za,,0,Ian Scheckter,2,,0,1,Ian Scheckter 🇿🇦,1975-03-01,0,0,1975,0,Ian,0,South Africa
4,hill,0.0,1929-02-15,2,,0,1975-05-11,,0,🇬🇧,Hill,gb,,1,Graham Hill,0,,0,2,Graham Hill 🇬🇧,1975-01-12,0,0,1975,0,Graham,0,UK
5,stuck,0.0,1951-01-01,0,,0,1975-10-05,,0,🇩🇪,Stuck,de,,1,Hans-Joachim Stuck,4,,0,1,Hans-Joachim Stuck 🇩🇪,1975-07-19,0,0,1975,0,Hans-Joachim,0,Germany
6,stommelen,0.0,1943-07-11,0,,0,1975-09-07,,0,🇩🇪,Stommelen,de,,1,Rolf Stommelen,2,,0,4,Rolf Stommelen 🇩🇪,1975-01-12,0,0,1975,0,Rolf,0,Germany
6,wunderink,0.0,1948-12-12,3,,0,1975-10-05,,0,🇳🇱,Wunderink,nl,,0,Roelof Wunderink,3,,0,0,Roelof Wunderink 🇳🇱,1975-04-27,0,0,1975,0,Roelof,0,Netherlands
7,merzario,0.0,1943-03-11,1,,0,1975-09-07,,0,🇮🇹,Merzario,it,,0,Arturo Merzario,5,,0,1,Arturo Merzario 🇮🇹,1975-01-12,0,0,1975,0,Arturo,0,Italy
8,jones,2.0,1946-11-02,0,,0,1975-08-03,,0,🇦🇺,Jones,au,,2,Alan Jones,3,,0,5,Alan Jones 🇦🇺,1975-04-27,0,0,1975,0,Alan,1,Australia
9,evans,0.0,1947-06-11,1,,0,1975-09-07,,0,🇬🇧,Evans,gb,,1,Bob Evans,4,,0,4,Bob Evans 🇬🇧,1975-03-01,0,0,1975,0,Bob,0,UK
9,ickx,3.0,1945-01-01,0,,1,1975-07-06,,0,🇧🇪,Ickx,be,,4,Jacky Ickx,3,,0,6,Jacky Ickx 🇧🇪,1975-01-12,0,0,1975,0,Jacky,1,Belgium
