participations,driverref,points,dob,did_not_start,last_win,podiums,last_race,permanent_number,championships,country_flag,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,wins,forename,finished_in_points,country
16,laffite,20.0,1943-11-21,0,,3,1976-10-24,,0,🇫🇷,Laffite,fr,,6,7,,0,9,1976-01-25,1,0,1976,0,Jacques,5,France
16,watson,20.0,1946-05-04,0,1976-08-15,3,1976-10-24,,0,🇬🇧,Watson,gb,,9,6,1976-08-15,0,10,1976-01-25,0,0,1976,1,John,5,UK
16,jarier,0.0,1946-07-10,0,,0,1976-10-24,,0,🇫🇷,Jarier,fr,,7,4,,0,12,1976-01-25,0,0,1976,0,Jean-Pierre,0,France
16,mass,19.0,1946-09-30,0,,2,1976-10-24,,0,🇩🇪,Mass,de,,10,4,,0,12,1976-01-25,0,0,1976,0,Jochen,8,Germany
16,brambilla,1.0,1937-11-11,0,,0,1976-10-24,,0,🇮🇹,Brambilla,it,,4,11,,0,5,1976-01-25,0,0,1976,0,Vittorio,1,Italy
16,emerson_fittipaldi,3.0,1946-12-12,1,,0,1976-10-24,,0,🇧🇷,Fittipaldi,br,,4,7,,0,8,1976-01-25,0,0,1976,0,Emerson,3,Brazil
16,pace,7.0,1944-10-06,0,,0,1976-10-24,,0,🇧🇷,Pace,br,,9,7,,0,9,1976-01-25,0,0,1976,0,Carlos,3,Brazil
16,peterson,10.0,1944-02-14,0,1976-09-12,1,1976-10-24,,0,🇸🇪,Peterson,se,,5,10,1976-09-12,0,6,1976-01-25,1,0,1976,1,Ronnie,2,Sweden
16,scheckter,49.0,1950-01-29,0,1976-06-13,5,1976-10-24,,0,🇿🇦,Scheckter,za,,12,4,1976-06-13,0,12,1976-01-25,1,0,1976,1,Jody,12,South Africa
16,pryce,10.0,1949-06-11,0,,1,1976-10-24,,0,🇬🇧,Pryce,gb,,11,4,,0,12,1976-01-25,0,0,1976,0,Tom,3,UK
16,stuck,8.0,1951-01-01,0,,0,1976-10-24,,0,🇩🇪,Stuck,de,,4,11,,0,5,1976-01-25,0,0,1976,0,Hans-Joachim,3,Germany
16,depailler,39.0,1944-08-09,0,,7,1976-10-24,,0,🇫🇷,Depailler,fr,,10,6,,0,10,1976-01-25,0,0,1976,0,Patrick,8,France
2,binder,0.0,1948-06-12,0,,0,1976-10-24,,0,🇦🇹,Binder,at,,0,2,,0,0,1976-08-15,0,0,1976,0,Hans,0,Austria
2,neve,0.0,1949-10-13,0,,0,1976-07-04,,0,🇧🇪,Nève,be,,0,1,,0,1,1976-05-16,0,0,1976,0,Patrick,0,Belgium
3,stommelen,1.0,1943-07-11,0,,0,1976-09-12,,0,🇩🇪,Stommelen,de,,1,1,,0,2,1976-08-01,0,0,1976,0,Rolf,1,Germany
3,evans,0.0,1947-06-11,1,,0,1976-07-18,,0,🇬🇧,Evans,gb,,1,1,,0,1,1976-03-06,0,0,1976,0,Bob,0,UK
3,stuppacher,0.0,1947-03-03,3,,0,1976-10-10,,0,🇦🇹,Stuppacher,at,,0,0,,0,0,1976-09-12,0,0,1976,0,Otto,0,Austria
4,lombardi,0.0,1941-03-26,2,,0,1976-08-15,,0,🇮🇹,Lombardi,it,,0,0,,0,2,1976-01-25,0,0,1976,0,Lella,0,Italy
4,pesenti_rossi,0.0,1942-08-31,1,,0,1976-09-12,,0,🇮🇹,Pesenti-Rossi,it,,0,0,,0,3,1976-08-01,0,0,1976,0,Alessandro,0,Italy
4,hoffmann,0.0,1953-02-28,3,,0,1976-07-04,,0,🇧🇷,Hoffmann,br,,0,0,,0,1,1976-01-25,0,0,1976,0,Ingo,0,Brazil
5,kessel,0.0,1950-04-01,2,,0,1976-08-15,,0,🇨🇭,Kessel,ch,,0,2,,0,1,1976-05-02,0,0,1976,0,Loris,0,Switzerland
6,edwards,0.0,1942-12-30,2,,0,1976-10-03,,0,🇬🇧,Edwards,gb,,0,1,,0,3,1976-05-16,0,0,1976,0,Guy,0,UK
7,leclere,0.0,1946-03-18,1,,0,1976-07-04,,0,🇫🇷,Leclère,fr,,1,1,,0,5,1976-03-06,0,0,1976,0,Michel,0,France
9,amon,2.0,1943-07-20,1,,0,1976-10-03,,0,🇳🇿,Amon,nz,,2,4,,0,4,1976-03-06,0,0,1976,0,Chris,1,New Zealand
9,pescarolo,0.0,1942-09-25,2,,0,1976-10-10,,0,🇫🇷,Pescarolo,fr,,1,3,,0,4,1976-05-30,0,0,1976,0,Henri,0,France
9,perkins,0.0,1950-03-18,1,,0,1976-10-24,,0,🇦🇺,Perkins,au,,1,5,,0,3,1976-05-02,0,0,1976,0,Larry,0,Australia
